City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,etchoropo,26.7667,-109.6667,49.41,71,0,11.65,MX,1675351221
192,takab,36.4009,47.1133,28.26,90,98,9.33,IR,1675351221
193,ternate,0.8,127.4,76.64,78,96,5.66,ID,1675351222
194,hervey bay,-25.2986,152.8535,77.23,90,34,4.14,AU,1675351222
195,chuy,-33.6971,-53.4616,81.68,55,83,10.98,UY,1675351222
196,vapnyarka,48.5348,28.7436,36.88,73,90,4.25,UA,1675351223
197,muyezerskiy,63.9333,31.65,5.2,100,87,0.94,RU,1675351224
198,cidreira,-30.1811,-50.2056,80.82,69,4,9.66,BR,1675351224
199,east london,-33.0153,27.9116,76.14,73,40,12.66,ZA,1675351224
200,port lincoln,-34.7333,135.8667,59.0,64,100,22.7,AU,1675351225
201,oranjestad,12.524,-70.027,84.15,70,20,14.97,AW,1675351225
202,sao filipe,14.8961,-24.4956,72.61,69,59,9.46,CV,1675351225
203,mount gambier,-37.8333,140.7667,51.21,73,96,16.06,AU,1675351226
204,lima,-12.0432,-77.0282,77.25,69,0,6.91,PE,1675351076
205,riyadh,24.6877,46.7219,68.14,26,0,12.64,SA,1675351223
206,biscarrosse,44.3945,-1.1672,53.55,50,0,8.05,FR,1675351227
207,dayong,25.0209,118.2898,55.71,73,68,3.24,CN,1675351227
208,ribeira brava,32.65,-17.0667,66.7,61,61,10.6,PT,1675351228
209,ponta do sol,32.6667,-17.1,66.7,60,67,9.44,PT,1675351228
210,taltal,-25.4,-70.4833,72.82,73,30,5.57,CL,1675351229
211,aginskoye,51.1,114.53,1.51,95,98,6.55,RU,1675351230
212,indramayu,-6.3264,108.32,78.62,85,100,10.42,ID,1675351230
213,polyarnyy,69.1989,33.4478,26.02,73,100,6.46,RU,1675351012
214,pechenga,69.5259,31.1703,20.53,90,100,3.83,RU,1675351231
215,roebourne,-20.7833,117.1333,87.96,58,29,4.97,AU,1675351231
216,salalah,17.0151,54.0924,75.29,57,0,6.91,OM,1675351031
217,touros,-5.1989,-35.4608,86.65,60,100,15.32,BR,1675351232
218,amga,60.8953,131.9608,-17.12,100,100,1.12,RU,1675351094
219,hami,42.8,93.45,24.6,70,4,3.33,CN,1675351142
220,poum,-20.2333,164.0167,81.05,74,94,13.06,NC,1675351233
221,lebu,-37.6167,-73.65,63.63,63,0,20.62,CL,1675351234
222,tarija,-21.5355,-64.7296,76.91,50,20,4.61,BO,1675351234
223,beyneu,45.3167,55.2,35.31,67,4,8.61,KZ,1675351235
224,katsuura,35.1333,140.3,44.78,44,100,9.42,JP,1675351235
225,carnarvon,-24.8667,113.6333,81.77,68,19,9.28,AU,1675351236
226,marysville,48.0518,-122.1771,40.64,78,0,11.5,US,1675351236
